Personality Traits,Behavioural Traits,Hobbies,Academic Performance,Hometown,Inasis,Co-curriculum Activities,Leadership,Favourite Cuisine,Estimated Income,Number of Best Friends,Faculty,Hogwarts House
Agreeableness,Independence: Gauges the student's ability to work autonomously and make decisions on their own.,"Making & Tinkering (e.g., self-motivated projects like building new things, self-restoration, and repairing stuff)",2nd Class,South,Laluan A,Arts & Culture,Yes,Malay,t20,2,SOC,Gryffindor
Agreeableness,Independence: Gauges the student's ability to work autonomously and make decisions on their own.,"Physical (e.g., active hobbies like dancing, yoga, hiking, sports, gardening, martial arts, singing",2nd Class,Borneo,Laluan A,Leadership & Volunteerism,Yes,Malay,m40,6,SOC,Slytherin
Openness,Risk-Taking  :  Assesses the student's willingness to take risks and try new things.,"Physical (e.g., active hobbies like dancing, yoga, hiking, sports, gardening, martial arts, singing",2nd Class,West,Laluan B,Sports,No,Malay,b40,3,SQS,Gryffindor
Openness,Independence: Gauges the student's ability to work autonomously and make decisions on their own.,"Creative (e.g., activities like writing, painting, singing, or cooking may provide a sense of accomplishment)",2nd Class,West,Laluan D,Arts & Culture,Yes,Western,t20,7,SBM,Hufflepuff
Openness,Collaboration  :   Measures the student's ability to work effectively with others.,"Community activities (e.g., volunteering, tutoring, helping people)",1st Class,West,Laluan B,Leadership & Volunteerism,Yes,Malay,b40,4,SEFB,Hufflepuff
Conscientiousness,Risk-Taking  :  Assesses the student's willingness to take risks and try new things.,"Physical (e.g., active hobbies like dancing, yoga, hiking, sports, gardening, martial arts, singing",1st Class,Borneo,Laluan C,Leadership & Volunteerism,Yes,Chinese,b40,6,SOE,Hufflepuff
Openness,Independence: Gauges the student's ability to work autonomously and make decisions on their own.,"Physical (e.g., active hobbies like dancing, yoga, hiking, sports, gardening, martial arts, singing",2nd Class,North,Laluan B,Sports,No,Malay,b40,7,SEFB,Ravenclaw
Agreeableness,Risk-Taking  :  Assesses the student's willingness to take risks and try new things.,"Creative (e.g., activities like writing, painting, singing, or cooking may provide a sense of accomplishment)",2nd Class,West,Laluan D,Uniform,Yes,Korean,t20,4,SBM,Hufflepuff
Openness,Independence: Gauges the student's ability to work autonomously and make decisions on their own.,"Physical (e.g., active hobbies like dancing, yoga, hiking, sports, gardening, martial arts, singing",1st Class,North,Laluan C,Others,No,Malay,b40,6,TISSA,Gryffindor
Openness,Collaboration  :   Measures the student's ability to work effectively with others.,"Physical (e.g., active hobbies like dancing, yoga, hiking, sports, gardening, martial arts, singing",2nd Class,Borneo,Laluan C,Leadership & Volunteerism,No,Malay,t20,6,SEFB,Ravenclaw
